Date,Actual_Revenue,Predicted_Revenue,Residual,Absolute_Error,Residual_Z_Score,Forecast_Anomaly
2024-10-21,100311.34535137971,115523.557867694,-15212.212516314292,15212.212516314292,-1.3365325357441613,False
2024-10-22,105441.10861464356,114873.72305851345,-9432.614443869898,9432.614443869898,-0.7325387870594992,False
2024-10-23,95480.01616361595,102942.93703608002,-7462.920872464078,7462.920872464078,-0.5266970331794887,False
2024-10-24,110400.69103595216,118925.66654435264,-8524.975508400486,8524.975508400486,-0.6376864744566489,False
2024-10-25,109385.65267880716,106136.95514374305,3248.697535064115,3248.697535064115,0.5927148143828282,False
2024-10-26,87822.764464847,107612.6475568539,-19789.8830920069,19789.8830920069,-1.8149195060143426,False
2024-10-27,90752.38357647936,105932.84694273656,-15180.463366257201,15180.463366257201,-1.333214608109719,False
2024-10-28,107959.30840546124,104684.18399782722,3275.1244076340226,3275.1244076340226,0.5954765403072677,False
2024-10-29,113767.09772974042,113250.33338862973,516.7643411106837,516.7643411106837,0.30721562390467055,False
2024-10-30,106458.6925372737,106549.1112425289,-90.41870525520062,90.41870525520062,0.24376229034834615,False
2024-10-31,102659.23773754602,102844.55873140818,-185.3209938621585,185.3209938621585,0.23384457836630387,False
2024-11-01,114769.61835630362,101819.70591209519,12949.912444208428,12949.912444208428,1.6065349946659586,False
2024-11-02,113156.04454004337,103685.57528546335,9470.46925458002,9470.46925458002,1.242917679223441,False
2024-11-03,105414.90240978326,109349.95121883262,-3935.04880904936,3935.04880904936,-0.1580186846588701,False
2024-11-04,115337.1900938689,109913.8910862537,5423.2990076152055,5423.2990076152055,0.8199703568682969,False
2024-11-05,110586.42355920331,115728.41111705956,-5141.98755785625,5141.98755785625,-0.2841491612399754,False
2024-11-06,114549.00364320201,112609.23913342613,1939.7645097758796,1939.7645097758796,0.45592548148954104,False
2024-11-07,97686.71302179492,113869.09467357061,-16182.381651775693,16182.381651775693,-1.4379195328399057,False
2024-11-08,105646.13768928219,113470.61042159755,-7824.472732315364,7824.472732315364,-0.5644808133728978,False
2024-11-09,108448.35760500723,112485.3117886852,-4036.954183677968,4036.954183677968,-0.16866825033135224,False
2024-11-10,107429.1341017129,114344.5012047889,-6915.3671030760015,6915.3671030760015,-0.46947522473645825,False
2024-11-11,99681.79171567685,98047.45467176863,1634.337043908221,1634.337043908221,0.4240069505210645,False
2024-11-12,107307.53096092826,100169.05047036188,7138.480490566377,7138.480490566377,0.999214463565158,False
2024-11-13,106856.18840436262,96835.6824762933,10020.505928069324,10020.505928069324,1.3003989622072487,False
2024-11-14,99584.45605731691,109435.70842904979,-9851.252371732873,9851.252371732873,-0.7762883156983647,False
2024-11-15,111405.69995279537,106054.194355015,5351.505597780371,5351.505597780371,0.8124676256760124,False
2024-11-16,109913.11196663814,101857.47443285328,8055.6375337848585,8055.6375337848585,1.0950614608342577,False
2024-11-17,125387.85589603927,111397.7546513523,13990.101244686972,13990.101244686972,1.7152393587178905,False
2024-11-18,97494.27829998656,108763.35895122818,-11269.080651241617,11269.080651241617,-0.9244576878238256,False
2024-11-19,104676.46638767298,106803.18248361962,-2126.716095946642,2126.716095946642,0.03096014060987006,False
2024-11-20,117191.75648377577,111122.72791924285,6069.028564532913,6069.028564532913,0.8874519725153621,False
2024-11-21,114699.60462435224,118019.87047506803,-3320.2658507157903,3320.2658507157903,-0.09377112644167854,False
2024-11-22,98671.05666972918,110774.28623914033,-12103.229569411153,12103.229569411153,-1.0116299661953199,False
2024-11-23,111270.77215020871,111318.746525451,-47.97437524229463,47.97437524229463,0.248197911938908,False
2024-11-24,100985.41588293698,107487.40062565022,-6501.984742713234,6501.984742713234,-0.4262749263167407,False
2024-11-25,102677.80934548085,116560.744929807,-13882.935584326144,13882.935584326144,-1.1976171739615722,False
2024-11-26,102039.58286568146,102881.7703162252,-842.1874505437445,842.1874505437445,0.1651991070751617,False
2024-11-27,106671.7682347759,103674.74856330952,2997.019671466376,2997.019671466376,0.5664133563246809,False
2024-11-28,96546.59888530477,109378.46719086038,-12831.868305555603,12831.868305555603,-1.0877759604607324,False
2024-11-29,95547.08933630823,108796.65620042039,-13249.56686411216,13249.56686411216,-1.131427320821861,False
2024-11-30,90693.5263613572,106705.38217739237,-16011.855816035168,16011.855816035168,-1.420098823253271,False
2024-12-01,114032.74283138853,111772.87736161417,2259.8654697743623,2259.8654697743623,0.489377457970195,False
2024-12-02,110385.86637988742,110335.36726531075,50.499114576668944,50.499114576668944,0.25848883035854503,False
2024-12-03,121741.73359408106,107305.45518046842,14436.278413612643,14436.278413612643,1.7618668607446792,False
2024-12-04,110517.5959668468,100098.00842839602,10419.587538450782,10419.587538450782,1.3421047685391176,False
2024-12-05,110032.9854870679,107082.85892441508,2950.1265626528184,2950.1265626528184,0.5615128175285982,False
2024-12-06,104441.56259184764,112436.21185555459,-7994.649263706946,7994.649263706946,-0.5822650190987958,False
2024-12-07,119534.94964035551,111274.96086672209,8259.98877363342,8259.98877363342,1.1164170758540906,False
2024-12-08,94556.81289833826,116756.5800550827,-22199.767156744434,22199.767156744434,-2.0667631276488567,True
2024-12-09,98791.29463529805,114585.01153496724,-15793.71689966919,15793.71689966919,-1.3973023346084867,False
2024-12-10,102972.25090019558,108098.33532045543,-5126.084420259853,5126.084420259853,-0.2824872125071575,False
2024-12-11,93877.39918612575,106810.17718144011,-12932.777995314362,12932.777995314362,-1.098321472628194,False
2024-12-12,105203.14022800112,114929.04391559488,-9725.90368759376,9725.90368759376,-0.7631888197339588,False
2024-12-13,91230.59915884412,111568.46058405231,-20337.86142520819,20337.86142520819,-1.8721856832674328,False
2024-12-14,103243.13789030921,115137.2550578881,-11894.117167578894,11894.117167578894,-0.9897767885355623,False
2024-12-15,104795.42766388605,103916.62424202955,878.8034218565008,878.8034218565008,0.3450503208522962,False
2024-12-16,123887.50918658364,106021.73733861012,17865.77184797352,17865.77184797352,2.1202642042182536,True
2024-12-17,120578.01968847254,103054.15995204773,17523.859736424813,17523.859736424813,2.0845328652243555,True
2024-12-18,109515.86913632725,103824.83545022379,5691.033686103459,5691.033686103459,0.8479498236211831,False
2024-12-19,111283.98131417054,107593.36344622722,3690.6178679433215,3690.6178679433215,0.6388974580770803,False
2024-12-20,101067.58848600887,115458.82003271903,-14391.231546710158,14391.231546710158,-1.2507363666655302,False
2024-12-21,92866.00210223254,105836.98452552992,-12970.982423297377,12970.982423297377,-1.102314005566398,False
2024-12-22,99734.79321813156,109429.8395319843,-9695.046313852741,9695.046313852741,-0.7599640866977186,False
2024-12-23,110306.62395380533,112230.58093718141,-1923.956983376076,1923.956983376076,0.05214937123567318,False
2024-12-24,109527.14779691734,109065.55631385659,461.59148306075076,461.59148306075076,0.30144981442423174,False
2024-12-25,110074.24625013552,108539.87348126835,1534.3727688671643,1534.3727688671643,0.4135602384037535,False
2024-12-26,111088.07841206157,104874.31833900759,6213.760073053985,6213.760073053985,0.9025770599848887,False
2024-12-27,112855.76195120136,105139.088663076,7716.673288125356,7716.673288125356,1.0596381869595461,False
2024-12-28,105565.13811469001,106650.17702839035,-1085.0389137003367,1085.0389137003367,0.13982004718778981,False
2024-12-29,107203.64044897807,104107.59492178317,3096.045527194903,3096.045527194903,0.576761999442849,False
2024-12-30,109924.13680758871,109059.65202259757,864.4847849911457,864.4847849911457,0.34355395950537254,False
